date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-08-11,2456.81,2580.72,2442.79,2474.32,2369.58,-0.03550539113728779
2008-08-12,2444.16,2474.32,2413.6,2479.15,2369.58,-0.030513550667714034
2008-08-13,2444.67,2466.09,2369.58,2479.15,2312.95,-0.053880482846355646
2008-08-14,2443.51,2461.24,2410.49,2479.15,2273.89,-0.06941653604855325
2008-08-15,2447.61,2479.15,2412.95,2533.3,2273.89,-0.0709753596365435
2008-08-18,2313.4,2452.63,2312.95,2535.86,2273.89,0.0961614939050748
2008-08-19,2348.47,2356.19,2273.89,2535.86,2312.18,0.0797923754614708
2008-08-20,2532.94,2533.3,2312.18,2535.86,2362.63,-0.0672380711742086
2008-08-21,2443.98,2535.86,2438.86,2439.91,2306.94,-0.05607247195148895
2008-08-22,2404.93,2437.43,2362.63,2439.91,2291.35,-0.047227985845741845
2008-08-25,2400.55,2439.91,2373.76,2390.66,2291.35,-0.04548957530565923
2008-08-26,2331.53,2390.66,2306.94,2418.05,2291.35,0.03710867970817445
2008-08-27,2325.29,2367.72,2291.35,2418.05,2297.02,0.039891798442344924
2008-08-28,2335.86,2363.56,2316.68,2418.05,2268.0,0.03518618410349938
2008-08-29,2391.64,2418.05,2339.52,2372.64,2219.56,-0.07195062802093959
2008-09-01,2309.17,2372.64,2297.02,2309.21,2216.11,-0.04030019444215885
2008-09-02,2285.41,2309.21,2268.0,2296.03,2172.94,-0.0492121763709793
2008-09-03,2245.96,2296.03,2219.56,2270.41,2119.12,-0.056474736860852436
2008-09-04,2251.15,2270.41,2216.11,2221.09,2111.4,-0.062079381649379206
2008-09-05,2183.43,2221.09,2172.94,2198.76,2099.23,-0.0385631781188313
2008-09-08,2126.52,2198.76,2119.12,2181.25,2067.25,-0.02787182815115775
2008-09-09,2139.14,2150.99,2111.4,2181.25,2066.44,-0.03398562038950224
2008-09-10,2143.18,2181.25,2099.23,2141.99,1987.3,-0.07273304155507232
2008-09-11,2072.13,2141.99,2067.25,2102.98,1923.55,-0.07170399540569374
2008-09-12,2077.85,2102.98,2066.44,2050.32,1804.77,-0.1314243087807108
2008-09-16,2000.65,2050.32,1987.3,2073.11,1804.77,-0.09790817984155155
2008-09-17,1929.13,2003.91,1923.55,2258.42,1804.77,0.1706935250605195
2008-09-18,1895.99,1936.73,1804.77,2258.42,2046.22,0.19115607149826744
2008-09-19,2073.11,2073.11,2046.22,2258.42,2050.97,0.08938744205565548
2008-09-22,2207.61,2258.42,2130.32,2256.27,2050.97,-0.0709545617205939
2008-09-23,2123.48,2180.37,2118.92,2257.16,2050.97,0.06295326539454096
2008-09-24,2138.85,2139.22,2050.97,2257.16,2128.27,0.0553147719568927
2008-09-25,2223.53,2256.27,2139.62,2257.16,2024.65,-0.08944336258112105
2008-09-26,2243.66,2257.16,2192.13,2206.56,2000.52,-0.1083675779752725
2008-10-06,2128.7,2206.56,2128.27,2136.12,1993.01,-0.06374312960962082
2008-10-07,2102.45,2136.12,2024.65,2073.07,1881.67,-0.10501082070917252
2008-10-08,2022.88,2073.07,2000.52,2063.3,1841.53,-0.08964941074112164
2008-10-09,1995.3,2063.3,1993.01,2060.49,1841.53,-0.07706610534756678
2008-10-10,1906.96,1938.21,1881.67,2060.49,1841.53,0.08051034106640922
2008-10-13,1985.49,1985.63,1841.53,2060.49,1818.93,-0.08388861187918345
2008-10-14,1934.62,2060.49,1934.46,1930.63,1805.67,-0.06665391653141177
2008-10-15,1914.36,1930.63,1892.02,1899.35,1802.1,-0.058641007960885096
2008-10-16,1820.9,1866.9,1818.93,1928.19,1802.1,0.058921412488329925
2008-10-17,1833.26,1851.33,1805.67,1928.19,1802.1,0.05178207128285135
2008-10-20,1896.73,1899.35,1802.1,1928.19,1779.13,-0.06200144459148108
2008-10-21,1881.41,1928.19,1880.52,1887.31,1769.11,-0.059689275596494215
2008-10-22,1833.32,1887.31,1832.45,1840.88,1652.79,-0.0984716252481836
2008-10-23,1834.78,1836.41,1779.13,1840.88,1607.67,-0.1237805077447977
2008-10-24,1781.6,1840.88,1769.11,1746.67,1607.67,-0.09762572968118537
2008-10-27,1654.67,1746.67,1652.79,1731.26,1607.67,0.04628717508627093
2008-10-28,1705.82,1716.31,1607.67,1731.26,1646.35,-0.034862998440632675
2008-10-29,1658.22,1731.26,1657.65,1723.93,1643.42,0.039626828768197245
2008-10-30,1697.66,1723.93,1646.35,1696.65,1606.73,-0.0535619617591273
2008-10-31,1663.66,1696.65,1655.09,1714.66,1606.73,-0.034219732397244663
2008-11-03,1653.54,1684.56,1643.42,1714.66,1606.73,0.03696312154529078
2008-11-04,1627.76,1648.45,1606.73,1714.66,1612.74,0.05338624858701534
2008-11-05,1691.42,1714.66,1641.26,1803.12,1612.74,0.06603918600938845
